Date,Close
08/01/2015,111.89
07/01/2015,107.75
06/01/2015,106.26
05/01/2015,106.25
02/01/2015,109.33
31/12/2014,110.38
30/12/2014,112.52
29/12/2014,113.91
26/12/2014,113.99
24/12/2014,112.01
23/12/2014,112.54
22/12/2014,112.94
19/12/2014,111.78
18/12/2014,112.65
17/12/2014,109.41
16/12/2014,106.75
15/12/2014,108.23
12/12/2014,109.73
11/12/2014,111.62
10/12/2014,111.95
09/12/2014,114.12
08/12/2014,112.4
05/12/2014,115
04/12/2014,115.49
03/12/2014,115.93
02/12/2014,114.63
01/12/2014,115.07
28/11/2014,118.93
26/11/2014,119
25/11/2014,117.6
24/11/2014,118.63
21/11/2014,116.47
20/11/2014,116.31
19/11/2014,114.67
18/11/2014,115.47
17/11/2014,113.99
14/11/2014,114.18
13/11/2014,112.82
12/11/2014,111.25
11/11/2014,109.7
10/11/2014,108.83
07/11/2014,109.01
06/11/2014,108.7
05/11/2014,108.39
04/11/2014,108.13
03/11/2014,108.93
31/10/2014,107.53
30/10/2014,106.52
29/10/2014,106.88
28/10/2014,106.28
27/10/2014,104.66
24/10/2014,104.77
23/10/2014,104.38
22/10/2014,102.55
21/10/2014,102.03
20/10/2014,99.33
17/10/2014,97.25
16/10/2014,95.84
15/10/2014,97.12
14/10/2014,98.32
13/10/2014,99.38
10/10/2014,100.3
09/10/2014,100.58
08/10/2014,100.36
07/10/2014,98.32
06/10/2014,99.19
03/10/2014,99.19
02/10/2014,99.47
01/10/2014,98.75
30/09/2014,100.32
29/09/2014,99.68
26/09/2014,100.32
25/09/2014,97.45
24/09/2014,101.31
23/09/2014,102.2
22/09/2014,100.62
19/09/2014,100.52
18/09/2014,101.35
17/09/2014,101.14
16/09/2014,100.42
15/09/2014,101.19
12/09/2014,101.22
11/09/2014,100.99
10/09/2014,100.56
09/09/2014,97.57
08/09/2014,97.94
05/09/2014,98.54
04/09/2014,97.7
03/09/2014,98.51
02/09/2014,102.85
29/08/2014,102.06
28/08/2014,101.81
27/08/2014,101.69
26/08/2014,100.45
25/08/2014,101.1
22/08/2014,100.88
21/08/2014,100.15
20/08/2014,100.14
19/08/2014,100.1
18/08/2014,98.73
15/08/2014,97.56
14/08/2014,97.08
13/08/2014,96.82
12/08/2014,95.56
11/08/2014,95.58
08/08/2014,94.33
07/08/2014,94.07
06/08/2014,94.08
05/08/2014,94.24
04/08/2014,94.71
01/08/2014,95.24
31/07/2014,94.72
30/07/2014,97.24
29/07/2014,97.47
28/07/2014,98.1
25/07/2014,96.77
24/07/2014,96.13
23/07/2014,96.29
22/07/2014,93.84
21/07/2014,93.07
18/07/2014,93.56
17/07/2014,92.23
16/07/2014,93.9
15/07/2014,94.44
14/07/2014,95.56
11/07/2014,94.34
10/07/2014,94.16
09/07/2014,94.51
08/07/2014,94.47
07/07/2014,95.08
03/07/2014,93.16
02/07/2014,92.62
01/07/2014,92.66
30/06/2014,92.07
27/06/2014,91.13
26/06/2014,90.06
25/06/2014,89.52
24/06/2014,89.45
23/06/2014,89.99
20/06/2014,90.07
19/06/2014,91.01
18/06/2014,91.33
17/06/2014,91.23
16/06/2014,91.35
13/06/2014,90.44
12/06/2014,91.44
11/06/2014,92.99
10/06/2014,93.38
09/06/2014,92.83
06/06/2014,91.37
05/06/2014,91.62
04/06/2014,91.27
03/06/2014,90.24
02/06/2014,88.98
30/05/2014,89.59
29/05/2014,89.93
28/05/2014,88.32
27/05/2014,88.55
23/05/2014,86.92
22/05/2014,85.95
21/05/2014,85.81
20/05/2014,85.59
19/05/2014,85.57
16/05/2014,84.57
15/05/2014,83.34
14/05/2014,84.05
13/05/2014,84.04
12/05/2014,83.91
09/05/2014,82.88
08/05/2014,83.22
07/05/2014,83.37
06/05/2014,83.66
05/05/2014,84.59
02/05/2014,83.41
01/05/2014,83.25
30/04/2014,83.06
29/04/2014,83.37
28/04/2014,83.62
25/04/2014,80.5
24/04/2014,79.91
23/04/2014,73.86
22/04/2014,74.84
21/04/2014,74.76
17/04/2014,73.89
16/04/2014,73.05
15/04/2014,72.9
14/04/2014,73.43
11/04/2014,73.14
10/04/2014,73.68
09/04/2014,74.64
08/04/2014,73.67
07/04/2014,73.68
04/04/2014,74.85
03/04/2014,75.83
02/04/2014,76.36
01/04/2014,76.24
31/03/2014,75.55
28/03/2014,75.56
27/03/2014,75.65
26/03/2014,75.97
25/03/2014,76.71
24/03/2014,75.89
21/03/2014,75
20/03/2014,74.41
19/03/2014,74.77
18/03/2014,74.79
17/03/2014,74.14
14/03/2014,73.85
13/03/2014,74.69
12/03/2014,75.53
11/03/2014,75.45
10/03/2014,74.73
07/03/2014,74.66
06/03/2014,74.7
05/03/2014,74.93
04/03/2014,74.77
03/03/2014,74.28
28/02/2014,74.07
27/02/2014,74.27
26/02/2014,72.82
25/02/2014,73.48
24/02/2014,74.25
21/02/2014,73.93
20/02/2014,74.76
19/02/2014,75.63
18/02/2014,76.85
14/02/2014,76.57
13/02/2014,76.63
12/02/2014,75.43
11/02/2014,75.44
10/02/2014,74.46
07/02/2014,73.15
06/02/2014,72.14
05/02/2014,71.72
04/02/2014,71.19
03/02/2014,70.17
31/01/2014,70.04
30/01/2014,69.93
29/01/2014,70.06
28/01/2014,70.87
27/01/2014,77.02
24/01/2014,76.4
23/01/2014,77.82
22/01/2014,77.16
21/01/2014,76.82
17/01/2014,75.65
16/01/2014,77.55
15/01/2014,77.98
14/01/2014,76.45
13/01/2014,74.96
10/01/2014,74.57
09/01/2014,75.07
